"detail_id","session_id","question_id","selected_answer","is_correct","response_time","created_at"
"279","233","404","4","true","14","2025-05-29 16:21:33.865046"
"280","233","405","3","true","17","2025-05-29 16:21:36.252936"
"281","233","400","3","true","20","2025-05-29 16:21:39.096769"
"282","233","392","3","true","23","2025-05-29 16:21:42.528652"
"283","233","380","3","true","27","2025-05-29 16:21:46.091708"
"284","233","387","1","false","29","2025-05-29 16:21:48.635127"
"285","233","387","2","false","30","2025-05-29 16:21:49.118138"
"286","233","387","3","true","30","2025-05-29 16:21:49.704574"
"287","233","362","2","true","34","2025-05-29 16:21:53.609721"
"288","235","411","2","true","23","2025-05-30 11:46:30.234445"
"289","235","412","2","true","38","2025-05-30 11:46:45.234101"
"290","236","410","3","true","60","2025-05-30 11:48:14.359482"
"291","237","275","2","true","1","2025-05-30 11:50:59.179879"
"292","237","251","1","true","4","2025-05-30 11:51:01.339142"
"293","237","251","3","false","4","2025-05-30 11:51:02.006059"
"294","237","234","1","false","5","2025-05-30 11:51:02.566253"
"295","241","416","1","false","3","2025-05-30 11:52:15.438612"
"296","240","389","4","false","5","2025-05-30 11:52:16.357926"
"297","240","389","2","true","6","2025-05-30 11:52:16.524814"
"298","238","258","3","true","9","2025-05-30 11:52:17.415797"
"299","238","258","3","true","9","2025-05-30 11:52:17.851699"
"300","241","416","2","false","6","2025-05-30 11:52:18.143601"
"301","241","416","3","true","7","2025-05-30 11:52:19.342627"
"302","238","282","2","true","10","2025-05-30 11:52:19.847247"
"303","241","416","1","false","8","2025-05-30 11:52:20.103007"
"304","239","420","4","false","11","2025-05-30 11:52:20.99118"
"305","239","420","2","true","12","2025-05-30 11:52:21.440905"
"306","239","461","3","true","13","2025-05-30 11:52:22.803331"
"307","239","406","2","true","42","2025-05-30 11:52:51.906815"
"308","238","261","2","false","45","2025-05-30 11:52:53.174229"
"309","238","261","4","false","45","2025-05-30 11:52:53.664063"
"310","238","261","3","true","46","2025-05-30 11:52:54.086809"
"311","240","420","2","true","45","2025-05-30 11:52:55.758787"
"312","241","414","2","true","44","2025-05-30 11:52:57.030506"
"313","239","402","1","false","49","2025-05-30 11:52:58.748931"
"314","239","402","3","false","50","2025-05-30 11:52:59.352274"
"315","239","402","2","false","50","2025-05-30 11:52:59.784083"
"316","239","402","4","true","51","2025-05-30 11:53:00.203571"
"317","238","280","1","false","53","2025-05-30 11:53:01.726568"
"318","238","280","3","true","54","2025-05-30 11:53:01.980818"
"319","238","280","2","false","54","2025-05-30 11:53:02.428968"
"320","240","393","3","true","54","2025-05-30 11:53:04.418169"
"321","241","398","2","false","54","2025-05-30 11:53:07.021381"
"322","241","398","3","true","55","2025-05-30 11:53:07.553969"
"323","239","415","1","true","60","2025-05-30 11:53:09.548745"
"324","239","415","3","false","61","2025-05-30 11:53:10.018635"
"325","238","245","1","false","62","2025-05-30 11:53:10.88978"
"326","238","245","2","true","63","2025-05-30 11:53:11.286626"
"327","240","416","1","false","62","2025-05-30 11:53:12.927207"
"328","240","416","3","true","63","2025-05-30 11:53:13.467041"
"329","241","417","2","false","62","2025-05-30 11:53:15.024868"
"330","241","417","4","false","63","2025-05-30 11:53:15.552211"
"331","241","417","3","true","64","2025-05-30 11:53:16.281352"
"332","241","418","2","true","65","2025-05-30 11:53:17.980075"
"333","241","393","2","false","67","2025-05-30 11:53:19.33544"
"334","241","393","3","true","68","2025-05-30 11:53:20.205533"
"335","239","421","3","true","73","2025-05-30 11:53:22.413668"
"336","238","238","2","false","75","2025-05-30 11:53:23.825399"
"337","238","238","4","true","76","2025-05-30 11:53:24.104452"
"338","238","263","2","false","77","2025-05-30 11:53:25.695733"
"339","238","263","4","false","78","2025-05-30 11:53:26.144962"
"340","238","263","1","false","78","2025-05-30 11:53:26.612717"
"341","238","263","3","true","79","2025-05-30 11:53:27.287194"
"342","238","279","3","false","80","2025-05-30 11:53:28.818744"
