detail_id,session_id,question_id,selected_answer,is_correct,response_time,created_at
3154,593,236,4,False,7,2025-06-04 08:28:57.599194
3159,593,236,3,True,7,2025-06-04 08:28:58.181002
3230,593,241,4,False,19,2025-06-04 08:29:09.796204
3231,593,241,3,False,19,2025-06-04 08:29:10.065088
3236,593,241,2,True,21,2025-06-04 08:29:11.835195
3237,593,241,1,False,21,2025-06-04 08:29:11.981277
3141,593,248,4,False,2,2025-06-04 08:28:53.371445
3143,593,248,3,False,4,2025-06-04 08:28:54.713524
3148,593,248,2,True,5,2025-06-04 08:28:55.772402
3149,593,248,1,False,5,2025-06-04 08:28:56.139977
3188,593,260,1,False,12,2025-06-04 08:29:02.650050
3189,593,260,2,True,12,2025-06-04 08:29:02.678871
3193,593,260,4,False,12,2025-06-04 08:29:02.949213
3165,593,269,3,False,8,2025-06-04 08:28:59.132224
3175,593,269,1,False,9,2025-06-04 08:29:00.026716
3180,593,269,4,False,10,2025-06-04 08:29:00.986462
3183,593,269,2,True,11,2025-06-04 08:29:01.739695
3199,593,283,3,False,13,2025-06-04 08:29:03.767290
3200,593,283,2,True,13,2025-06-04 08:29:03.903966
3201,593,283,1,False,13,2025-06-04 08:29:04.011969
3205,593,283,4,False,13,2025-06-04 08:29:04.366439
3213,593,285,2,False,15,2025-06-04 08:29:06.282051
3215,593,285,3,False,16,2025-06-04 08:29:06.553884
3220,593,285,1,True,17,2025-06-04 08:29:07.796799
3224,593,285,4,False,18,2025-06-04 08:29:08.508135
3131,593,299,1,False,1,2025-06-04 08:28:51.966855
3132,593,299,3,False,1,2025-06-04 08:28:52.045852
3134,593,299,4,False,1,2025-06-04 08:28:52.314229
3135,593,299,2,True,2,2025-06-04 08:28:52.526823
3208,593,302,2,False,14,2025-06-04 08:29:05.111031
3209,593,302,3,True,14,2025-06-04 08:29:05.126931
3225,593,314,3,False,18,2025-06-04 08:29:08.696157
3226,593,314,2,True,18,2025-06-04 08:29:08.914670
3227,593,314,1,False,18,2025-06-04 08:29:08.997996
3144,594,304,3,True,4,2025-06-04 08:28:55.160507
3169,594,324,3,False,8,2025-06-04 08:28:59.435354
3211,594,324,4,True,15,2025-06-04 08:29:05.627995
3332,596,379,2,True,51,2025-06-04 08:29:45.854281
3287,596,402,4,True,29,2025-06-04 08:29:22.953399
3361,596,414,2,True,70,2025-06-04 08:30:04.155735
3317,596,418,2,True,36,2025-06-04 08:29:30.469416
3393,596,421,3,True,90,2025-06-04 08:30:24.063957
3325,596,446,2,True,45,2025-06-04 08:29:39.492008
3349,596,447,3,True,66,2025-06-04 08:30:00.777052
3262,596,455,3,True,23,2025-06-04 08:29:18.220161
3309,596,459,3,True,33,2025-06-04 08:29:27.762583
3177,596,460,3,True,6,2025-06-04 08:29:00.431408
3206,597,406,4,False,7,2025-06-04 08:29:04.706509
3191,597,414,3,False,5,2025-06-04 08:29:02.699391
3198,597,414,2,True,6,2025-06-04 08:29:03.627606
3164,597,445,4,False,1,2025-06-04 08:28:59.058877
3173,597,445,2,False,2,2025-06-04 08:28:59.655898
